Cu,Zn,Ni,Pb,Cr,Cd
30.87,95.44,36.12,27.65,91.8,0.21
30.07,94.47,35.12,26.65,90.8,0.2
29.2,93.64,35.06,26.48,89.9,0.19
28.33,93.26,34.15,24.89,89.37,0.18
25.83,87.8,29.17,21.81,79.6,0.17
30.87,95.44,36.12,25.65,91.8,0.21
30.07,94.47,35.12,26.65,90.8,0.2
24.01,85.27,28.82,24.09,79.28,0.16
32.34,116.89,34.48,29.55,108,0.23
32.28,112.87,35.82,29.83,98,0.23
31.02,95.44,38.12,29.65,97,0.21
31.34,95.92,39.9,29.98,97.74,0.21
32.82,96.01,35.85,28.49,97.4,0.2
32.72,96.16,34.71,28.98,97.83,0.22
31.02,95.46,38.56,29.79,96.3,0.19
30.97,95.82,36.38,28.94,96.93,0.19
46.23,105.52,39.92,32.66,97.8,0.29
46.49,103.17,37.03,32.97,97.24,0.29
45.15,102.11,39.08,32.44,99,0.26
44.8,101.71,31.9,30.34,99.54,0.27
39.67,97.19,40.08,33.28,83.8,0.3
39.36,92.19,41.04,32.72,80.8,0.31
38.07,99.88,40.42,32.49,79.7,0.28
38.27,96.26,38.38,28.82,79.68,0.22
